file,entity_type,en_field,ua_field,state,ua_status,ua_drafted_by,draft_revision,en_chars,ua_chars,mtime_days,defer,note
knowledge_base/hosted/content/biomarkers/bio_1p19q_codeletion.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,559,688,56,,
knowledge_base/hosted/content/biomarkers/bio_akt1.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,471,663,56,,
knowledge_base/hosted/content/biomarkers/bio_alk_fusion.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,86,429,56,,
knowledge_base/hosted/content/biomarkers/bio_alk_g1202r.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,521,566,56,,
knowledge_base/hosted/content/biomarkers/bio_alk_l1196m.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,508,530,56,,
knowledge_base/hosted/content/biomarkers/bio_alk_rearrangement.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,763,1004,56,,
knowledge_base/hosted/content/biomarkers/bio_amh_ovarian_reserve.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_surveillance_2026_05_18,1,1039,365,49,,
knowledge_base/hosted/content/biomarkers/bio_aml_tp53_adverse.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,905,955,56,,
knowledge_base/hosted/content/biomarkers/bio_anal_cytology_hsil.yaml,biomarkers,notes,notes_ua,missing,,,,407,0,49,,
knowledge_base/hosted/content/biomarkers/bio_apc.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,896,890,56,,
knowledge_base/hosted/content/biomarkers/bio_apc_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,353,71,50,,
knowledge_base/hosted/content/biomarkers/bio_ar_amplification.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1277,1358,56,,
knowledge_base/hosted/content/biomarkers/bio_ar_v7.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1027,1007,56,,
knowledge_base/hosted/content/biomarkers/bio_atm_chek2_cdk12_germline.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,434,395,56,,
knowledge_base/hosted/content/biomarkers/bio_atm_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,449,92,50,,
knowledge_base/hosted/content/biomarkers/bio_atrx_mutation.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,536,299,56,,
knowledge_base/hosted/content/biomarkers/bio_axin2_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,391,157,49,,
knowledge_base/hosted/content/biomarkers/bio_bap1.yaml,biomarkers,notes,notes_ua,missing,,,,70,0,60,,
knowledge_base/hosted/content/biomarkers/bio_bap1_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,390,117,50,,
knowledge_base/hosted/content/biomarkers/bio_bap1_mutation.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1737,1731,56,,
knowledge_base/hosted/content/biomarkers/bio_bard1_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,317,84,50,,
knowledge_base/hosted/content/biomarkers/bio_bcl2_ihc.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,988,1277,56,,
knowledge_base/hosted/content/biomarkers/bio_bcl2_ihc_alias.yaml,biomarkers,notes,notes_ua,missing,,,,140,0,60,,
knowledge_base/hosted/content/biomarkers/bio_bcl2_rearrangement.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,274,277,56,,
knowledge_base/hosted/content/biomarkers/bio_bcl6_ihc.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,523,541,56,,
knowledge_base/hosted/content/biomarkers/bio_bcl6_rearrangement.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,506,569,56,,
knowledge_base/hosted/content/biomarkers/bio_bcma_expression.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1435,1666,56,,
knowledge_base/hosted/content/biomarkers/bio_bcr_abl1.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,596,684,56,,
knowledge_base/hosted/content/biomarkers/bio_bcr_abl1_e255k.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,493,498,56,,
knowledge_base/hosted/content/biomarkers/bio_bcr_abl1_f317l.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,501,592,56,,
knowledge_base/hosted/content/biomarkers/bio_bcr_abl1_t315i.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,868,926,56,,
knowledge_base/hosted/content/biomarkers/bio_bcr_abl1_v299l.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,451,480,56,,
knowledge_base/hosted/content/biomarkers/bio_blm_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,507,187,49,,
knowledge_base/hosted/content/biomarkers/bio_braf_class_ii_iii.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,940,959,56,,
knowledge_base/hosted/content/biomarkers/bio_braf_v600e.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,243,244,56,,
